{   Distance	     Value	 Material }
{ -1.22500e+00	-7.10248e-01	 GaN }
{ -1.17470e+00	-6.98137e-01	 GaN }
{ -1.12541e+00	-6.98073e-01	 GaN }
{ -1.07712e+00	-6.67339e-01	 GaN }
{ -1.02981e+00	-6.16524e-01	 GaN }
{ -9.83459e-01	-6.08453e-01	 GaN }
{ -9.38042e-01	-6.05367e-01	 GaN }
{ -8.93544e-01	-6.04001e-01	 GaN }
{ -8.49946e-01	-6.03342e-01	 GaN }
{ -8.07229e-01	-6.03005e-01	 GaN }
{ -7.65377e-01	-6.02821e-01	 GaN }
{ -7.24371e-01	-6.02715e-01	 GaN }
{ -6.84194e-01	-6.02647e-01	 GaN }
{ -6.44830e-01	-6.02598e-01	 GaN }
{ -6.06262e-01	-6.02556e-01	 GaN }
{ -5.68474e-01	-6.02516e-01	 GaN }
{ -5.31451e-01	-6.02473e-01	 GaN }
{ -4.95176e-01	-6.02422e-01	 GaN }
{ -4.59635e-01	-6.02361e-01	 GaN }
{ -4.24813e-01	-6.02285e-01	 GaN }
{ -3.90695e-01	-6.02185e-01	 GaN }
{ -3.57267e-01	-6.02053e-01	 GaN }
{ -3.24515e-01	-6.01878e-01	 GaN }
{ -2.92426e-01	-6.01648e-01	 GaN }
{ -2.60986e-01	-6.01353e-01	 GaN }
{ -2.30181e-01	-6.00989e-01	 GaN }
{ -2.00000e-01	-6.00753e-01	 GaN }
{ -1.67837e-01	-5.99003e-01	 GaN }
{ -1.43399e-01	-5.97719e-01	 GaN }
{ -1.24830e-01	-5.95447e-01	 GaN }
{ -1.10721e-01	-5.91920e-01	 GaN }
{ -1.00000e-01	-5.88697e-01	 GaN }
{ -9.00481e-02	-5.87013e-01	 GaN }
{ -8.05441e-02	-5.86323e-01	 GaN }
{ -7.14679e-02	-5.86061e-01	 GaN }
{ -6.28002e-02	-5.85955e-01	 GaN }
{ -5.45226e-02	-5.85906e-01	 GaN }
{ -4.66175e-02	-5.85878e-01	 GaN }
{ -3.90683e-02	-5.85858e-01	 GaN }
{ -3.18588e-02	-5.85839e-01	 GaN }
{ -2.49737e-02	-5.85812e-01	 GaN }
{ -1.83986e-02	-5.85759e-01	 GaN }
{ -1.21194e-02	-5.85620e-01	 GaN }
{ -6.12278e-03	-5.85115e-01	 GaN }
{ -3.96074e-04	-5.83021e-01	 GaN }
{  5.07289e-03	-5.85245e-01	 GaN }
{  1.02957e-02	-5.85803e-01	 GaN }
{  1.52835e-02	-5.85969e-01	 GaN }
{  2.00467e-02	-5.86033e-01	 GaN }
{  2.45956e-02	-5.86064e-01	 GaN }
{  2.89398e-02	-5.86081e-01	 GaN }
{  3.30884e-02	-5.86093e-01	 GaN }
{  3.70503e-02	-5.86102e-01	 GaN }
